Sample	Kingdom	Phylum	Class_taxa	Order_taxa	Family	Genus	Relative_abundance
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	AF12	1.96155e-4
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae	Alistipes	0
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	S24-7	NA	3.92311e-4
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Barnesiellaceae	NA	0.017457827
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Butyricimonas	0.003334641
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Odoribacteraceae	Odoribacter	7.84621e-4
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	NA	0
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	CF231	0
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Paraprevotella	0.00058846600000000005
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	YRC22	0
204_v3	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Paraprevotellaceae	Prevotella	0
204_v3	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Other	0
204_v3	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Weeksellaceae	NA	0
204_v3	Bacteria	Bacteroidetes	Sphingobacteriia	Sphingobacteriales	Sphingobacteriaceae	Pedobacter	0
204_v3	Bacteria	Chloroflexi	Thermomicrobia	JG30-KF-CM45	NA	NA	0
204_v3	Bacteria	Cyanobacteria	4C0d-2	YS2	NA	NA	3.92311e-4
204_v3	Bacteria	Cyanobacteria	Chloroplast	Streptophyta	NA	NA	0
204_v3	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	NA	0
204_v3	Bacteria	Elusimicrobia	Elusimicrobia	Elusimicrobiales	Elusimicrobiaceae	Elusimicrobium	0
204_v3	Bacteria	Firmicutes	Other	Other	Other	Other	0
204_v3	Bacteria	Firmicutes	Bacilli	Other	Other	Other	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	Other	Other	0
204_v3	Bacteria	Firmicutes	Bacilli	Bacillales	NA	NA	0
